['price', 'hours', 'minute', 'seconds']  from C:\D-folder\data\weekdaywise-data\Thursday\2022-06-09
34736.25, 9, 26, 12
34735.6, 9, 26, 13
34736.55, 9, 26, 14
34743.25, 9, 26, 15
34743.25, 9, 26, 16
34742.8, 9, 26, 17
34742.6, 9, 26, 18
34743.9, 9, 26, 20
34741.55, 9, 26, 21
34745.7, 9, 26, 22
34746.35, 9, 26, 23
34745.0, 9, 26, 24
34746.95, 9, 26, 25
34745.5, 9, 26, 26
34743.55, 9, 26, 27
34745.0, 9, 26, 28
34744.85, 9, 26, 29
34741.7, 9, 26, 30
34740.8, 9, 26, 31
34747.05, 9, 26, 32
34747.1, 9, 26, 33
34748.95, 9, 26, 34
34748.6, 9, 26, 35
34749.7, 9, 26, 37
34747.85, 9, 26, 38
34744.7, 9, 26, 39
34744.7, 9, 26, 40
34745.05, 9, 26, 41
34740.25, 9, 26, 42
34742.4, 9, 26, 43
34743.2, 9, 26, 44
34742.0, 9, 26, 45
34742.6, 9, 26, 46
34742.6, 9, 26, 47
34743.15, 9, 26, 48
34741.3, 9, 26, 49
34740.2, 9, 26, 50
34741.45, 9, 26, 51
34742.25, 9, 26, 52
34742.15, 9, 26, 53
34745.1, 9, 26, 54
34742.3, 9, 26, 56
34744.9, 9, 26, 57
34744.05, 9, 26, 58
34745.0, 9, 26, 59
34744.05, 9, 27, 0
34744.95, 9, 27, 1
34743.45, 9, 27, 2
34745.0, 9, 27, 3
34744.5, 9, 27, 4
34744.35, 9, 27, 5
34744.85, 9, 27, 6
34738.85, 9, 27, 7
34738.4, 9, 27, 8
34735.7, 9, 27, 9
34736.95, 9, 27, 10
34739.1, 9, 27, 11
34739.9, 9, 27, 13
34740.0, 9, 27, 14
34741.8, 9, 27, 15
34739.2, 9, 27, 16
34739.3, 9, 27, 17
34740.95, 9, 27, 18
34743.15, 9, 27, 19
34743.4, 9, 27, 20
34743.0, 9, 27, 21
34742.6, 9, 27, 22
34744.35, 9, 27, 23
34743.95, 9, 27, 24
34743.3, 9, 27, 25
34744.0, 9, 27, 26
34744.85, 9, 27, 27
34744.85, 9, 27, 28
34748.35, 9, 27, 29
34748.65, 9, 27, 30
34744.95, 9, 27, 31
34743.95, 9, 27, 33
34749.7, 9, 27, 34
34752.05, 9, 27, 35
34752.45, 9, 27, 36
34754.8, 9, 27, 37
34755.4, 9, 27, 38
34758.0, 9, 27, 39
34759.0, 9, 27, 40
34759.2, 9, 27, 41
34757.25, 9, 27, 42
34759.45, 9, 27, 43
34756.9, 9, 27, 44
34759.85, 9, 27, 45
34758.9, 9, 27, 46
34760.95, 9, 27, 47
34761.65, 9, 27, 48
34761.65, 9, 27, 49
34761.55, 9, 27, 50
34762.0, 9, 27, 51
34762.5, 9, 27, 53
34761.1, 9, 27, 54
34761.6, 9, 27, 55
34760.6, 9, 27, 56
34753.55, 9, 27, 57
34757.95, 9, 27, 58
34757.3, 9, 27, 59
34756.5, 9, 28, 0
34753.9, 9, 28, 1
34754.1, 9, 28, 2
34756.7, 9, 28, 3
34754.65, 9, 28, 4
34754.25, 9, 28, 5
34754.25, 9, 28, 6
34749.4, 9, 28, 7
34750.9, 9, 28, 8
34749.25, 9, 28, 9
34749.25, 9, 28, 10
34750.6, 9, 28, 11
34751.4, 9, 28, 13
34749.45, 9, 28, 14
34751.15, 9, 28, 15
34746.9, 9, 28, 16
34751.45, 9, 28, 17
34749.2, 9, 28, 18
34750.8, 9, 28, 19
34742.35, 9, 28, 20
34744.0, 9, 28, 21
34744.0, 9, 28, 22
34745.35, 9, 28, 23
34746.35, 9, 28, 24
34745.6, 9, 28, 25
34745.4, 9, 28, 26
34745.05, 9, 28, 27
34745.05, 9, 28, 28
34746.4, 9, 28, 29
34745.8, 9, 28, 30
34745.15, 9, 28, 32
34747.1, 9, 28, 33
34744.9, 9, 28, 34
34745.7, 9, 28, 35
34745.05, 9, 28, 36
34746.8, 9, 28, 37
34746.15, 9, 28, 38
34747.75, 9, 28, 39
34749.25, 9, 28, 40
34749.25, 9, 28, 41
34749.4, 9, 28, 42
34755.05, 9, 28, 43
34752.95, 9, 28, 44
34751.4, 9, 28, 45
34753.65, 9, 28, 46
34751.0, 9, 28, 47
34752.45, 9, 28, 48
34752.45, 9, 28, 49
34754.4, 9, 28, 50
34753.65, 9, 28, 51
34753.35, 9, 28, 53
34753.75, 9, 28, 54
34753.85, 9, 28, 55
34753.85, 9, 28, 56
34749.0, 9, 28, 57
34749.0, 9, 28, 58
34746.2, 9, 28, 59
34745.95, 9, 29, 0
34744.9, 9, 29, 1
34742.45, 9, 29, 2
34741.2, 9, 29, 3
34741.2, 9, 29, 4
34741.2, 9, 29, 5
34742.9, 9, 29, 6
34742.9, 9, 29, 7
34741.8, 9, 29, 8
34741.75, 9, 29, 9
34742.1, 9, 29, 11
34742.85, 9, 29, 12
34742.7, 9, 29, 13
34746.75, 9, 29, 14
34748.0, 9, 29, 15
34748.0, 9, 29, 16
34748.45, 9, 29, 17
34751.5, 9, 29, 18
34750.85, 9, 29, 19
34753.9, 9, 29, 20
34751.35, 9, 29, 21
34751.95, 9, 29, 22
34752.05, 9, 29, 23
34750.8, 9, 29, 24
34750.8, 9, 29, 25
34747.75, 9, 29, 26
34747.35, 9, 29, 27
34748.4, 9, 29, 28
34747.35, 9, 29, 30
34747.5, 9, 29, 31
34747.75, 9, 29, 32
34750.45, 9, 29, 33
34749.05, 9, 29, 34
34749.85, 9, 29, 35
34747.45, 9, 29, 36
34747.8, 9, 29, 37
34749.75, 9, 29, 38
34749.05, 9, 29, 39
34746.2, 9, 29, 40
